TOPIC,SIGNO,CONFIGS,PATH_IMG,
Calendario (Calendar),Enero (January),15,enero,
Calendario (Calendar),Febrero (February),3,febrero,
Calendario (Calendar),Junio (June),25,junio,
Calendario (Calendar),Julio (July),8,julio,
Calendario (Calendar),Octubre (October),2,octubre,
Calendario (Calendar),Año (Year),22,ano,
Calendario (Calendar),Mes (Month),23,mes,
Calendario (Calendar),Semana (Week),21,semana,
Calendario (Calendar),Sábado (Saturday),21,sabado,
Calendario (Calendar),Domingo (Sunday),14,domingo,
Calendario (Calendar),Fin de semana (Weekend),"21,14",finde,
Calendario (Calendar),Verano (Summer),1,verano,
Calendario (Calendar),Ayer (Yesterday),"3,8",ayer,
Calendario (Calendar),Hoy (Today),23,hoy,
Calendario (Calendar),Mañana (Tomorrow),3,manana,
Calendario (Calendar),Por la tarde (In the afternoon),15,tarde_a,
Calendario (Calendar),En punto (On the dot),15,punto_en,
Calendario (Calendar),Y cuarto (A quarter past),23,cuarto-y,
Calendario (Calendar),Menos cuarto (A quarter to),"3,8",cuarto-menos,
Familia (Family),Abuelo/a (Grandparent),22,abuelo,
Familia (Family),Mamá (Mum),2,mama,
Familia (Family),Niña (Child – girl),"15,3",nina,
Familia (Family),Niño (Child – boy),"21,3",nino,
Familia (Family),Papá (Dad),2,papa,
Familia (Family),Persona (Person),26,persona,
Familia (Family),Ciego/a (Blind),33,ciego,
Familia (Family),Sordo/a (Deaf),23,sordo,
Familia (Family),Sordociego/a (Deafblind),"23,33",sordociego,
Comida (Food),Comida (Food),10,comida,
Comida (Food),Bebida (Drink),21,bebida,
Comida (Food),Merienda (Snack),"10,15",merienda,
Comida (Food),Alimento (Foodstuff),10,alimento,
Comida (Food),Hambre (Hunger),22,hambre,
Comida (Food),Sed (Thirst),13,sed,
Comida (Food),Aceite (Oil),21,aceite,
Comida (Food),Agua (Water),21,agua,
Comida (Food),Azúcar (Sugar),"18,19",azucar,
Comida (Food),Caramelo (Candy),25,caramelo,
Comida (Food),Chocolate (Chocolate),35,chocolate,
Comida (Food),Galleta (Biscuit),26,galleta,
Comida (Food),Limón (Lemon),22,limon,
Comida (Food),Pan (Bread),"34,36",pan,
Comida (Food),Pescado (Fish),35,pescado,
Comida (Food),Pollo (Chicken),34,pollo,
Comida (Food),Sal (Salt),"18,19",sal,
Comida (Food),Zanahoria (Carrot),22,zanahoria,
Comida (Food),Zumo (Juice),5,zumo,
Comida (Food),Postre (Dessert),22,postre,
Comida (Food),Dulce (Sweet),23,dulce-sabor,
Comida (Food),Fruta (Fruit),22,fruta,
Comida (Food),Helado (Ice cream),31,helado-alimento,
Comida (Food),Manzana (Apple),22,manzana,
Comida (Food),Pera (Pear),10,pera,
Ropa (Clothes),Bufanda (Scarf),2,bufanda,
Ropa (Clothes),Gorra (Cap),31,gorra,
Ropa (Clothes),Zapato (Shoe),37,zapato,
Cuerpo (Body),Boca (Mouth),23,boca,
Cuerpo (Body),Cabeza (Head),3,cabeza,
Cuerpo (Body),Dedo (Finger),23,dedo-cuerpo_a,
Cuerpo (Body),Dientes (Teeth),23,diente,
Cuerpo (Body),Lengua (Tongue),23,lengua-boca,
Cuerpo (Body),Mano (Hand),1,mano-cuerpo,
Cuerpo (Body),Nariz (Nose),23,nariz,
Cuerpo (Body),Ojo (Eye),23,ojo,
Cuerpo (Body),Oreja (Ear),23,oreja,
Cuerpo (Body),Pelo (Hair),14,pelo,
Cuerpo (Body),Pie (Foot),"35,39",pie,??
Cuerpo (Body),Pierna (Leg),3,pierna,
Sentidos (Senses),Sentidos (Senses),1,sentido-cuerpo,
Sentidos (Senses),Gusto (Taste),"23,10",gusto-sabor,
Sentidos (Senses),Oído (Hearing),23,oido,
Sentidos (Senses),Olfato (Smell),"33,37",olfato,
Sentidos (Senses),Vista (Sight),33,vista_a,
Casa (House),Cuarto de baño (Bathroom),35,bano,
Casa (House),Salón (Living room),34,salon,
Casa (House),Cama (Bed),3,cama,
Casa (House),Cristal (Crystal),25,cristal,
Casa (House),Lámpara (Lamp),"11,1",lampara,
Casa (House),Plancha (Iron),22,plancha-ropa,
Casa (House),Teléfono (Telephone),42,telefono,
Casa (House),Cepillo de dientes (Toothbrush),31,cepillo-dientes,
Casa (House),Colonia (Cologne),21,colonia,
Casa (House),Espejo (Mirror),3,espejo,
Casa (House),Jabón (Soap),22,jabon,
Casa (House),Peine (Comb),31,peine,
Casa (House),Cuchara (Spoon),31,cuchara,
Casa (House),Jarra (Pitcher),22,jarra,
Casa (House),Lavadora (Washing machine),23,lavadora,
Casa (House),Nevera (Refrigerator),"10,22",nevera,
Casa (House),Sartén (Frying pan),31,sarten,
Casa (House),Servilleta (Serviette),3,servilleta,
Casa (House),Vaso (Glass),9,vaso,
Colegio (School),Colegio (School),3,colegio,
Colegio (School),Abecedario (Alphabet),"22,2,9",abecedario,
Colegio (School),Alumno (Student),25,alumno,
Colegio (School),Dibujo (Drawing),29,dibujo,
Colegio (School),Litro (Litre),24,litro,
Colegio (School),Palabra (Word),26,palabra,
Colegio (School),Resta (Subtraction),23,resta,
Colegio (School),Bolígrafo (Pen),"21,22",boligrafo,
Colegio (School),Borrador (Rubber),22,borrador,
Colegio (School),Cuento (Story),"1,6",cuento-narracion,
Colegio (School),Diccionario (Dictionary),"20,17",diccionario,
Colegio (School),Hoja-papel (Sheet of paper),"3,10",hoja-papel,
Colegio (School),Lápiz (Pencil),29,lapiz,
Colegio (School),Pintura (Paint),35,pintura-pintar,
Colegio (School),Tijeras (Scissors),"33,35",tijera,
Colegio (School),Tiza (Chalk),"29,20,18",tiza,
Colores (Colours),Amarillo (Yellow),16,amarillo,
Colores (Colours),Azul (Blue),"2,41",azul,
Colores (Colours),Blanco (White),"20,1",blanco-color,
Colores (Colours),Marrón (Brown),35,marron,
Colores (Colours),Rojo (Red),"23,25",rojo,
Colores (Colours),Rosa (Pink),23,rosa-color,
Colores (Colours),Verde (Green),33,verde,
Ciudad (City),Acera (Pavement),26,acera,
Ciudad (City),Banco (Bank),"23,25",banco,
Ciudad (City),Buzón (Postbox),8,buzon,
Ciudad (City),Hospital (Hospital),21,hospital,
Ciudad (City),Luz (Light),"11,1",luz,
Ciudad (City),Museo (Museum),33,museo,
Ciudad (City),Plaza (Square),1,plaza,
Ciudad (City),Semáforo (Traffic light),"11,5",semaforo,
Ciudad (City),Policía (Police),"27,26",policia,
Ciudad (City),Profesor (Teacher),25,profesor,
Fiestas (Festivities),Papá Noel (Father Christmas),"5,11",papa-noel,
Fiestas (Festivities),Reyes Magos (Three Wise Men),5,rey_mago,
Naturaleza (Nature),Flor (Flower),"11,1",flor,
Naturaleza (Nature),Luna (Moon),3,luna,
Naturaleza (Nature),Saco de dormir (Sleeping-bag),"31,3",saco_dormir,
Naturaleza (Nature),Tiempo (Weather),5,tiempo-clima,
Naturaleza (Nature),Calor (Heat),1,calor,
Naturaleza (Nature),Sol (Sun),"32,24",sol,
Animales (Animals),Abeja (Bee),29,abeja,
Animales (Animals),Ballena (Whale),"11,1",ballena,
Animales (Animals),Cerdo (Pig),9,cerdo,
Animales (Animals),Elefante (Elephant),"7,2",elefante,
Animales (Animals),Loro (Parrot),25,loro-animal,
Animales (Animals),Pato (Duck),"4,10",pato,
Animales (Animals),Perro (Dog),"4,10",perro,
Animales (Animals),Tiburón (Shark),3,tiburon,
Animales (Animals),Toro (Bull),42,toro-animal,
Animales (Animals),Vaca (Cow),42,vaca,
Animales (Animals),Zoo (Zoo),"40,15",zoo,
Adjetivos (Adjectives),Adjetivo (Adjective),3,adjetivo,
Adjetivos (Adjectives),Aburrido/a (Boring),3,aburrido,
Adjetivos (Adjectives),Ácido/a (Sour),5,acido,
Adjetivos (Adjectives),Agradable (Nice),3,agradable,
Adjetivos (Adjectives),Alto/a (Tall),8,alto-estatura,
Adjetivos (Adjectives),Amargo/a (Bitter),"23,22",amargo,
Adjetivos (Adjectives),Bajo/a (Short),3,bajo-estatura,
Adjetivos (Adjectives),Bueno/a (Good),"10,3",bueno-persona,
Adjetivos (Adjectives),Caliente (Hot),9,caliente,
Adjetivos (Adjectives),Contento/a (Happy),"20,17",contento_mon,
Adjetivos (Adjectives),Delgado/a (Thin),40,delgado,
Adjetivos (Adjectives),Desagradable (Unpleasant),"3,8",desagradable,
Adjetivos (Adjectives),Enfadado/a (Angry),2,enfadado,
Adjetivos (Adjectives),Feo/a (Ugly),"8,3",feo,
Adjetivos (Adjectives),Guapo/a (Handsome),"4,10",guapo,
Adjetivos (Adjectives),Limpio/a (Clean),16,limpio,
Adjetivos (Adjectives),Malo/a (Bad),2,malo-caracter,
Adjetivos (Adjectives),Pelirrojo (Red-haired),"14,23,22",pelirrojo,
Adjetivos (Adjectives),Pocos (Few),"31,21",poco_a,
Adjetivos (Adjectives),Primero/a (First),23,primero-vertical,
Adjetivos (Adjectives),Rubio/a (Blonde),16,rubio,
Adjetivos (Adjectives),Salado (Salty),"23,19",salado,
Adjetivos (Adjectives),Sucio/a (Dirty),2,sucio,
Adjetivos (Adjectives),Triste (Sad),"1,5",triste-caracter,
Adverbios (Adverbs),Adverbio (Adverb),10,adverbio,
Adverbios (Adverbs),Abajo (Below),23,abajo,
Adverbios (Adverbs),Arriba (Above),23,arriba_b,
Adverbios (Adverbs),Bien (Well),"10,1",bien_a,
